id,repair,model,iteration,numSeededMutations,ADQbefore,ADQafter,ED,EDCheatbefore,EDCheatafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,mutations,time,avg,max,repaired
1,TRUNCATION_2PERCENT,EXAMPLE,0,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,1139,0.728125,0.9375,0
2,TRUNCATION_2PERCENT,EXAMPLE,1,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,1183,0.7375,0.9375,0
3,TRUNCATION_2PERCENT,EXAMPLE,2,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,926,0.8225,0.9375,0
4,TRUNCATION_2PERCENT,EXAMPLE,3,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,840,0.7925,0.9375,0
5,TRUNCATION_2PERCENT,EXAMPLE,4,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,834,0.83,0.9375,0
6,TRUNCATION_2PERCENT,EXAMPLE,5,6,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,2.0,2.0,24,810,0.8275,0.875,0
7,TRUNCATION_2PERCENT,EXAMPLE,6,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,823,0.8125,0.9375,0
8,TRUNCATION_2PERCENT,EXAMPLE,7,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,805,0.8475,0.9375,0
9,TRUNCATION_2PERCENT,EXAMPLE,8,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,857,0.83,0.9375,0
10,TRUNCATION_2PERCENT,EXAMPLE,9,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,903,0.8325,0.9375,0
11,TRUNCATION_2PERCENT,EXAMPLE,10,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,865,0.77,0.9375,0
12,TRUNCATION_2PERCENT,EXAMPLE,11,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,868,0.7425,0.9375,0
13,TRUNCATION_2PERCENT,EXAMPLE,12,6,0.8125,0.875,5.0,4.0,6.0,0.0,5.0,2.0,2.0,24,906,0.8225,0.875,0
14,TRUNCATION_2PERCENT,EXAMPLE,13,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,849,0.8175,0.9375,0
15,TRUNCATION_2PERCENT,EXAMPLE,14,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,902,0.755,0.9375,0
16,TRUNCATION_2PERCENT,EXAMPLE,15,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,902,0.8425,0.9375,0
17,TRUNCATION_2PERCENT,EXAMPLE,16,6,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,2.0,2.0,24,906,0.8475,0.875,0
18,TRUNCATION_2PERCENT,EXAMPLE,17,6,0.8125,0.875,2.0,4.0,4.0,0.0,2.0,2.0,2.0,24,902,0.7925,0.875,0
19,TRUNCATION_2PERCENT,EXAMPLE,18,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,871,0.7875,0.9375,0
20,TRUNCATION_2PERCENT,EXAMPLE,19,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,849,0.745,0.9375,0
21,TRUNCATION_2PERCENT,EXAMPLE,20,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,871,0.7375,0.9375,0
22,TRUNCATION_2PERCENT,EXAMPLE,21,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,938,0.7925,0.9375,0
23,TRUNCATION_2PERCENT,EXAMPLE,22,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,903,0.74,0.9375,0
24,TRUNCATION_2PERCENT,EXAMPLE,23,6,0.8125,0.875,5.0,4.0,6.0,0.0,5.0,2.0,2.0,24,855,0.795,0.875,0
25,TRUNCATION_2PERCENT,EXAMPLE,24,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,849,0.85,0.9375,0
26,TRUNCATION_2PERCENT,EXAMPLE,25,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,855,0.7025,0.9375,0
27,TRUNCATION_2PERCENT,EXAMPLE,26,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,848,0.775,0.9375,0
28,TRUNCATION_2PERCENT,EXAMPLE,27,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,872,0.815,0.9375,0
29,TRUNCATION_2PERCENT,EXAMPLE,28,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,878,0.84,0.9375,0
30,TRUNCATION_2PERCENT,EXAMPLE,29,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,875,0.7625,0.9375,0
31,TRUNCATION_2PERCENT,EXAMPLE,30,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,876,0.7625,0.9375,0
32,TRUNCATION_2PERCENT,EXAMPLE,31,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,854,0.78,0.9375,0
33,TRUNCATION_2PERCENT,EXAMPLE,32,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,996,0.735,0.9375,0
34,TRUNCATION_2PERCENT,EXAMPLE,33,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,848,0.81,0.9375,0
35,TRUNCATION_2PERCENT,EXAMPLE,34,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,871,0.8275,0.9375,0
36,TRUNCATION_2PERCENT,EXAMPLE,35,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,902,0.82,0.9375,0
37,TRUNCATION_2PERCENT,EXAMPLE,36,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,852,0.785,0.9375,0
38,TRUNCATION_2PERCENT,EXAMPLE,37,6,0.8125,0.9375,3.0,4.0,3.0,0.0,3.0,2.0,2.0,24,866,0.7375,0.9375,0
