id,repair,model,iteration,numSeededMutations,ADQbefore,ADQafter,ED,EDCheatbefore,EDCheatafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,mutations,time,avg,max,repaired
34,TRUNCATION_2PERCENT,EXAMPLE,33,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,2,77,0.85,1.0,1
35,TRUNCATION_2PERCENT,EXAMPLE,34,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,62,0.83125,1.0,1
36,TRUNCATION_2PERCENT,EXAMPLE,35,-1,0.875,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,1,105,0.85625,1.0,1
37,TRUNCATION_2PERCENT,EXAMPLE,36,-1,0.75,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,2,115,0.825,1.0,1
38,TRUNCATION_2PERCENT,EXAMPLE,37,-1,0.75,1.0,7.0,7.0,0.0,0.0,7.0,2.0,1.5,2,79,0.8,1.0,1
39,TRUNCATION_2PERCENT,EXAMPLE,38,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,28,1.0,1.0,1
40,TRUNCATION_2PERCENT,EXAMPLE,39,-1,0.875,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,1,51,0.875,1.0,1
41,TRUNCATION_2PERCENT,EXAMPLE,40,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,51,0.7875,1.0,1
42,TRUNCATION_2PERCENT,EXAMPLE,41,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,25,1.0,1.0,1
43,TRUNCATION_2PERCENT,EXAMPLE,42,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,25,1.0,1.0,1
44,TRUNCATION_2PERCENT,EXAMPLE,43,-1,0.75,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,54,0.9,1.0,1
45,TRUNCATION_2PERCENT,EXAMPLE,44,-1,0.875,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,1,55,0.89375,1.0,1
46,TRUNCATION_2PERCENT,EXAMPLE,45,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,29,1.0,1.0,1
47,TRUNCATION_2PERCENT,EXAMPLE,46,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,27,1.0,1.0,1
48,TRUNCATION_2PERCENT,EXAMPLE,47,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,53,0.83125,1.0,1
49,TRUNCATION_2PERCENT,EXAMPLE,48,-1,0.875,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,1,51,0.8625,1.0,1
50,TRUNCATION_2PERCENT,EXAMPLE,49,-1,1.0,1.0,3.0,3.0,0.0,0.0,3.0,2.0,1.5,0,26,1.0,1.0,1
51,TRUNCATION_2PERCENT,EXAMPLE,50,-1,0.75,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,2,75,0.91875,1.0,1
52,TRUNCATION_2PERCENT,EXAMPLE,51,-1,0.75,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,2,76,0.73125,1.0,1
53,TRUNCATION_2PERCENT,EXAMPLE,52,-1,0.875,1.0,6.0,6.0,0.0,0.0,6.0,2.0,1.5,1,52,0.875,1.0,1
54,TRUNCATION_2PERCENT,EXAMPLE,53,-1,0.75,1.0,7.0,7.0,0.0,0.0,7.0,2.0,1.5,2,79,0.8,1.0,1
55,TRUNCATION_2PERCENT,EXAMPLE,54,-1,0.75,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,2,66,0.7875,1.0,1
