id,repair,model,iteration,numSeededMutations,ADQbefore,ADQafter,ED,EDCheatbefore,EDCheatafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,mutations,time,avg,max,repaired
34,TRUNCATION_2PERCENT,EXAMPLE,33,-1,0.625,0.75,6.0,8.0,2.0,0.0,6.0,2.0,1.5,6,179,0.6875,0.75,0
35,TRUNCATION_2PERCENT,EXAMPLE,34,-1,0.875,1.0,4.0,4.0,0.0,0.0,4.0,2.0,1.5,1,54,0.7875,1.0,1
36,TRUNCATION_2PERCENT,EXAMPLE,35,-1,0.625,0.625,3.0,8.0,5.0,0.0,3.0,1.3333333333333333,1.0,6,180,0.625,0.625,0
37,TRUNCATION_2PERCENT,EXAMPLE,36,-1,0.75,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,2,78,0.88125,1.0,1
38,TRUNCATION_2PERCENT,EXAMPLE,37,-1,0.75,1.0,7.0,7.0,0.0,0.0,7.0,2.0,1.5,2,80,0.775,1.0,1
39,TRUNCATION_2PERCENT,EXAMPLE,38,-1,0.875,0.875,3.0,8.0,6.0,0.0,3.0,2.0,1.5,5,153,0.7125,0.875,0
40,TRUNCATION_2PERCENT,EXAMPLE,39,-1,0.875,0.75,4.0,8.0,6.0,0.0,4.0,2.0,1.5,5,155,0.69375,0.75,0
41,TRUNCATION_2PERCENT,EXAMPLE,40,-1,0.75,1.0,5.0,5.0,0.0,0.0,5.0,2.0,1.5,2,81,0.86875,1.0,1
42,TRUNCATION_2PERCENT,EXAMPLE,41,-1,0.25,0.875,5.0,7.0,7.0,0.0,5.0,4.0,3.0,7,206,0.575,0.875,0
43,TRUNCATION_2PERCENT,EXAMPLE,42,-1,0.875,0.75,4.0,8.0,4.0,0.0,4.0,2.0,1.5,5,157,0.675,0.75,0
44,TRUNCATION_2PERCENT,EXAMPLE,43,-1,0.75,0.75,3.0,6.0,5.0,0.0,3.0,2.0,1.5,7,206,0.69375,0.75,0
45,TRUNCATION_2PERCENT,EXAMPLE,44,-1,0.75,0.75,5.0,8.0,6.0,0.0,5.0,1.3333333333333333,1.0,6,182,0.75,0.75,0
