repair,model,iteration,nmut,mutation,ADQbefore,ADQafter,deltaED,EDbefore,EDafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,description
TRUNCATION_2PERCENT,EXAMPLE,1,1,OrToAnd,0.75,0.875,1.0,4.0,5.0,2.0,3.0,0.75,0.75,OrToAnd Root from OR TO AND
TRUNCATION_2PERCENT,EXAMPLE,1,2,MandToOpt,0.875,0.875,1.0,5.0,6.0,3.0,4.0,0.75,0.875,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,1,3,OptToMand,0.875,0.875,1.0,6.0,6.0,4.0,5.0,0.875,0.875,OptToMand B from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,1,4,MandToOpt,0.875,0.875,1.0,6.0,6.0,5.0,4.0,0.875,0.875,MandToOpt B from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,1,5,OptToMand,0.875,0.875,1.0,6.0,6.0,4.0,5.0,0.875,0.875,OptToMand B from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,1,6,MandToOpt,0.875,0.875,1.0,6.0,6.0,5.0,4.0,0.875,0.875,MandToOpt B from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,2,1,OrToAnd,0.75,0.75,1.0,4.0,5.0,2.0,3.0,0.75,0.75,OrToAnd Root from OR TO AND
TRUNCATION_2PERCENT,EXAMPLE,2,2,MandToOpt,0.75,0.875,1.0,5.0,6.0,3.0,4.0,0.75,0.75,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,2,3,MandToOpt,0.875,0.875,1.0,6.0,6.0,4.0,5.0,0.75,0.875,MandToOpt B from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,2,4,OptToMand,0.875,0.875,1.0,6.0,6.0,5.0,4.0,0.875,0.875,OptToMand B from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,2,5,MandToOpt,0.875,0.875,1.0,6.0,6.0,4.0,5.0,0.875,0.875,MandToOpt B from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,2,6,OptToMand,0.875,0.875,1.0,6.0,5.0,5.0,4.0,0.875,0.875,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,2,7,MandToOpt,0.875,0.875,1.0,5.0,6.0,4.0,5.0,0.875,0.875,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,5,1,OrToAnd,0.75,0.875,1.0,4.0,5.0,2.0,3.0,0.75,0.75,OrToAnd Root from OR TO AND
TRUNCATION_2PERCENT,EXAMPLE,5,2,MandToOpt,0.875,0.875,1.0,5.0,6.0,3.0,4.0,0.75,0.875,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,5,3,OptToMand,0.875,0.875,1.0,6.0,6.0,4.0,5.0,0.875,0.875,OptToMand B from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,5,4,OptToMand,0.875,0.75,1.0,6.0,5.0,5.0,4.0,0.875,0.875,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,5,5,MandToOpt,0.75,0.875,1.0,5.0,6.0,4.0,5.0,0.875,0.75,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,5,6,MandToOpt,0.875,0.875,1.0,6.0,6.0,5.0,4.0,0.75,0.875,MandToOpt B from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,6,1,OptToMand,0.875,1.0,1.0,1.0,0.0,3.0,4.0,0.875,0.875,OptToMand A from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,7,1,OptToMand,0.875,0.75,1.0,5.0,4.0,3.0,4.0,0.875,0.875,OptToMand B from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,7,2,MandToOpt,0.75,0.875,1.0,4.0,5.0,4.0,3.0,0.875,0.75,MandToOpt B from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,7,3,OptToMand,0.875,0.75,1.0,5.0,4.0,3.0,4.0,0.75,0.875,OptToMand B from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,7,4,MandToOpt,0.75,0.875,1.0,4.0,5.0,4.0,3.0,0.875,0.75,MandToOpt B from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,7,5,OptToMand,0.875,0.75,1.0,5.0,4.0,3.0,4.0,0.75,0.875,OptToMand B from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,8,1,OptToMand,0.875,0.75,1.0,6.0,5.0,2.0,3.0,0.875,0.875,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,8,2,MandToOpt,0.75,0.875,1.0,5.0,6.0,3.0,2.0,0.875,0.75,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,8,3,OptToMand,0.875,0.75,1.0,6.0,5.0,2.0,3.0,0.75,0.875,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,8,4,MandToOpt,0.75,0.875,1.0,5.0,6.0,3.0,2.0,0.875,0.75,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,8,5,OptToMand,0.875,0.75,1.0,6.0,5.0,2.0,3.0,0.75,0.875,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,9,1,OptToMand,0.375,0.75,1.0,8.0,7.0,2.0,3.0,0.375,0.375,OptToMand A from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,9,2,OptToMand,0.75,0.875,1.0,7.0,6.0,3.0,4.0,0.375,0.75,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,9,3,MandToOpt,0.875,0.75,1.0,6.0,7.0,4.0,3.0,0.75,0.875,MandToOpt D from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,9,4,OptToMand,0.75,0.875,1.0,7.0,6.0,3.0,4.0,0.875,0.75,OptToMand D from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,9,5,OptToMand,0.875,0.75,1.0,6.0,6.0,4.0,5.0,0.75,0.875,OptToMand B from OPTIONAL TO MANDATORY
TRUNCATION_2PERCENT,EXAMPLE,9,6,MandToOpt,0.75,0.875,1.0,6.0,6.0,5.0,4.0,0.875,0.75,MandToOpt B from MANDATORY TO OPTIONAL
TRUNCATION_2PERCENT,EXAMPLE,9,7,OptToMand,0.875,0.75,1.0,6.0,6.0,4.0,5.0,0.75,0.875,OptToMand B from OPTIONAL TO MANDATORY
