id,repair,model,iteration,numSeededMutations,ADQbefore,ADQafter,ED,EDCheatbefore,EDCheatafter,EDbeforeInitial,EDafterInitial,COMPbefore,COMPafter,mutations,time,avg,max,repaired
1,TRUNCATION_2PERCENT,EXAMPLE,0,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,17,923,0.80625,0.875,0
2,TRUNCATION_2PERCENT,EXAMPLE,1,-1,0.6875,0.875,2.0,6.0,6.0,0.0,2.0,2.0,2.0,17,705,0.79375,0.875,0
3,TRUNCATION_2PERCENT,EXAMPLE,2,-1,0.5625,0.875,6.0,7.0,4.0,0.0,6.0,2.0,2.0,17,728,0.8,0.875,0
4,TRUNCATION_2PERCENT,EXAMPLE,3,-1,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,2.0,2.0,17,502,0.8,0.875,0
5,TRUNCATION_2PERCENT,EXAMPLE,4,-1,0.8125,0.9375,2.0,3.0,3.0,0.0,2.0,2.0,2.0,16,592,0.81875,0.9375,0
6,TRUNCATION_2PERCENT,EXAMPLE,5,-1,0.8125,0.875,5.0,3.0,6.0,0.0,5.0,2.0,2.0,16,501,0.803125,0.875,0
7,TRUNCATION_2PERCENT,EXAMPLE,6,-1,0.6875,0.875,4.0,6.0,6.0,0.0,4.0,2.0,2.0,17,479,0.803125,0.875,0
8,TRUNCATION_2PERCENT,EXAMPLE,7,-1,0.8125,0.875,4.0,5.0,4.0,0.0,4.0,2.0,2.0,17,483,0.79375,0.875,0
9,TRUNCATION_2PERCENT,EXAMPLE,8,-1,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,2.0,2.0,17,487,0.796875,0.875,0
10,TRUNCATION_2PERCENT,EXAMPLE,9,-1,0.8125,0.875,3.0,3.0,4.0,0.0,3.0,2.0,2.0,16,462,0.83125,0.875,0
11,TRUNCATION_2PERCENT,EXAMPLE,10,-1,0.6875,0.875,6.0,5.0,6.0,0.0,6.0,2.0,2.0,17,484,0.78125,0.875,0
12,TRUNCATION_2PERCENT,EXAMPLE,11,-1,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,2.0,2.0,17,475,0.778125,0.875,0
13,TRUNCATION_2PERCENT,EXAMPLE,12,-1,0.6875,0.9375,5.0,6.0,3.0,0.0,5.0,2.0,2.0,17,482,0.778125,0.9375,0
14,TRUNCATION_2PERCENT,EXAMPLE,13,-1,0.6875,0.875,6.0,4.0,6.0,0.0,6.0,2.0,2.0,16,457,0.8,0.875,0
15,TRUNCATION_2PERCENT,EXAMPLE,14,-1,0.8125,0.875,4.0,4.0,6.0,0.0,4.0,2.0,2.0,18,523,0.81875,0.875,0
16,TRUNCATION_2PERCENT,EXAMPLE,15,-1,0.8125,0.875,5.0,4.0,6.0,0.0,5.0,2.0,2.0,17,580,0.8,0.875,0
17,TRUNCATION_2PERCENT,EXAMPLE,16,-1,0.8125,0.875,4.0,5.0,4.0,0.0,4.0,2.0,2.0,17,579,0.790625,0.875,0
18,TRUNCATION_2PERCENT,EXAMPLE,17,-1,0.6875,0.875,5.0,6.0,4.0,0.0,5.0,2.0,2.0,17,574,0.796875,0.875,0
19,TRUNCATION_2PERCENT,EXAMPLE,18,-1,0.6875,0.875,6.0,5.0,6.0,0.0,6.0,2.0,2.0,17,571,0.76875,0.875,0
20,TRUNCATION_2PERCENT,EXAMPLE,19,-1,0.8125,0.875,3.0,5.0,6.0,0.0,3.0,2.0,2.0,17,597,0.809375,0.875,0
21,TRUNCATION_2PERCENT,EXAMPLE,20,-1,0.5625,0.875,3.0,7.0,6.0,0.0,3.0,2.0,2.0,17,563,0.803125,0.875,0
